Time(sec),CH1,CH2,CH3,CH4,Wavelength
48.199495,1,0,0,0,1523.66179
48.399493,1,0,0,0,1523.66368
48.599491,1,0,0,0,1523.66179
48.799489,1,0,0,0,1523.6599
48.999487,1,0,0,0,1523.66179
49.199485,1,0,0,0,1523.6599
49.399482,1,0,0,0,1523.66349
49.59948,1,0,0,0,1523.66179
49.799478,1,0,0,0,1523.66349
49.999476,1,0,0,0,1523.6599
50.199474,1,0,0,0,1523.66349
50.399472,1,0,0,0,1523.66368
50.59947,1,0,0,0,1523.66179
50.799468,1,0,0,0,1523.6599
50.999466,1,0,0,0,1523.66179
51.199464,1,0,0,0,1523.66179
51.399462,1,0,0,0,1523.6599
51.599459,1,0,0,0,1523.66179
51.799457,1,0,0,0,1523.66009
51.999455,1,0,0,0,1523.66179
52.199453,1,0,0,0,1523.66368
52.399451,1,0,0,0,1523.66179
52.599449,1,0,0,0,1523.66179
52.799447,1,0,0,0,1523.6599
52.999445,1,0,0,0,1523.6599
53.199443,1,0,0,0,1523.66537
53.399441,1,0,0,0,1523.66348
53.599439,1,0,0,0,1523.66179
53.799436,1,0,0,0,1523.66348
53.999434,1,0,0,0,1523.66348
54.199432,1,0,0,0,1523.66537
54.39943,1,0,0,0,1523.66349
54.599428,1,0,0,0,1523.66368
54.799426,1,0,0,0,1523.66368
54.999424,1,0,0,0,1523.66368
55.199422,1,0,0,0,1523.66179
55.39942,1,0,0,0,1523.66349
55.599418,1,0,0,0,1523.66179
55.799416,1,0,0,0,1523.66179
55.999413,1,0,0,0,1523.66009
56.199412,1,0,0,0,1523.66179
56.399409,1,0,0,0,1523.66368
56.599407,1,0,0,0,1523.6616
56.799405,1,0,0,0,1523.66179
56.999403,1,0,0,0,1523.66349
57.199401,1,0,0,0,1523.66009
57.399399,1,0,0,0,1523.66179
57.599397,1,0,0,0,1523.66009
57.799395,1,0,0,0,1523.66368
57.999393,1,0,0,0,1523.66349
58.19939,1,0,0,0,1523.6599
58.399388,1,0,0,0,1523.66349
58.599386,1,0,0,0,1523.6599
58.799384,1,0,0,0,1523.6599
58.999382,1,0,0,0,1523.66179
59.19938,1,0,0,0,1523.66179
59.399378,1,0,0,0,1523.66367
59.599376,1,0,0,0,1523.66179
59.799374,1,0,0,0,1523.66348
59.999372,1,0,0,0,1523.66179
60.199369,1,0,0,0,1523.6616
60.399368,1,0,0,0,1523.66179
60.599365,1,0,0,0,1523.6616
60.799363,1,0,0,0,1523.6599
60.999361,1,0,0,0,1523.66179
61.199359,1,0,0,0,1523.66179
61.399357,1,0,0,0,1523.66179
61.599355,1,0,0,0,1523.66367
61.799353,1,0,0,0,1523.66179
61.999351,1,0,0,0,1523.6616
62.199348,1,0,0,0,1523.66179
62.399347,1,0,0,0,1523.66179
62.599344,1,0,0,0,1523.66179
62.799342,1,0,0,0,1523.6616
62.99934,1,0,0,0,1523.66367
63.199338,1,0,0,0,1523.66367
63.399336,1,0,0,0,1523.66348
63.599334,1,0,0,0,1523.66348
63.799332,1,0,0,0,1523.66179
63.99933,1,0,0,0,1523.66179
64.199328,1,0,0,0,1523.66348
64.399325,1,0,0,0,1523.66178
64.599324,1,0,0,0,1523.66367
64.799321,1,0,0,0,1523.66348
64.999319,1,0,0,0,1523.66537
65.199317,1,0,0,0,1523.66178
65.399315,1,0,0,0,1523.66348
65.599313,1,0,0,0,1523.66178
65.799311,1,0,0,0,1523.66178
65.999309,1,0,0,0,1523.66348
66.199307,1,0,0,0,1523.66348
66.399305,1,0,0,0,1523.66367
66.599303,1,0,0,0,1523.66367
66.7993,1,0,0,0,1523.66367
66.999298,1,0,0,0,1523.66348
67.199296,1,0,0,0,1523.66348
67.399294,1,0,0,0,1523.66367
67.599292,1,0,0,0,1523.66348
67.79929,1,0,0,0,1523.66178
67.999288,1,0,0,0,1523.66348
68.199286,1,0,0,0,1523.66367
68.399284,1,0,0,0,1523.66178
68.599282,1,0,0,0,1523.66178
68.79928,1,0,0,0,1523.66348
68.999277,1,0,0,0,1523.66178
69.199275,1,0,0,0,1523.66178
69.399273,1,0,0,0,1523.65989
69.599271,1,0,0,0,1523.66178
69.799269,1,0,0,0,1523.65989
69.999267,1,0,0,0,1523.65989
70.199265,1,0,0,0,1523.66178
70.399263,1,0,0,0,1523.66178
70.599261,1,0,0,0,1523.66178
70.799259,1,0,0,0,1523.66178
70.999257,1,0,0,0,1523.65989
71.199255,1,0,0,0,1523.66178
71.399252,1,0,0,0,1523.66178
71.59925,1,0,0,0,1523.66348
71.799248,1,0,0,0,1523.66008
71.999246,1,0,0,0,1523.66367
72.199244,1,0,0,0,1523.66348
72.399242,1,0,0,0,1523.66178
72.59924,1,0,0,0,1523.66159
72.799238,1,0,0,0,1523.66178
72.999236,1,0,0,0,1523.66178
73.199234,1,0,0,0,1523.66348
73.399231,1,0,0,0,1523.66178
73.599229,1,0,0,0,1523.66367
73.799227,1,0,0,0,1523.66348
73.999225,1,0,0,0,1523.66178
74.199223,1,0,0,0,1523.66537
74.399221,1,0,0,0,1523.66367
74.599219,1,0,0,0,1523.66178
74.799217,1,0,0,0,1523.66367
74.999215,1,0,0,0,1523.66178
75.199213,1,0,0,0,1523.66348
75.39921,1,0,0,0,1523.66348
75.599209,1,0,0,0,1523.66178
75.799206,1,0,0,0,1523.66367
75.999204,1,0,0,0,1523.66348
76.199202,1,0,0,0,1523.66178
76.3992,1,0,0,0,1523.66178
76.599198,1,0,0,0,1523.66537
76.799196,1,0,0,0,1523.66367
76.999194,1,0,0,0,1523.66367
77.199192,1,0,0,0,1523.66348
77.399189,1,0,0,0,1523.66367
77.599188,1,0,0,0,1523.66178
77.799186,1,0,0,0,1523.66537
77.999183,1,0,0,0,1523.66555
78.199181,1,0,0,0,1523.66367
78.399179,1,0,0,0,1523.66367
78.599177,1,0,0,0,1523.66367
78.799175,1,0,0,0,1523.66367
78.999173,1,0,0,0,1523.66348
79.199171,1,0,0,0,1523.66537
79.399169,1,0,0,0,1523.66556
79.599167,1,0,0,0,1523.66367
79.799165,1,0,0,0,1523.66348
79.999162,1,0,0,0,1523.66367
80.19916,1,0,0,0,1523.66348
80.399158,1,0,0,0,1523.66367
80.599156,1,0,0,0,1523.66178
80.799154,1,0,0,0,1523.66348
80.999152,1,0,0,0,1523.66178
81.19915,1,0,0,0,1523.66178
81.399148,1,0,0,0,1523.66348
81.599146,1,0,0,0,1523.66178
81.799144,1,0,0,0,1523.66367
81.999142,1,0,0,0,1523.66178
82.199139,1,0,0,0,1523.65989
82.399137,1,0,0,0,1523.66348
82.599135,1,0,0,0,1523.66348
82.799133,1,0,0,0,1523.66348
82.999131,1,0,0,0,1523.66347
83.199129,1,0,0,0,1523.66178
83.399127,1,0,0,0,1523.66347
83.599125,1,0,0,0,1523.66178
83.799123,1,0,0,0,1523.66178
83.999121,1,0,0,0,1523.66178
84.199118,1,0,0,0,1523.66348
84.399116,1,0,0,0,1523.66348
84.599114,1,0,0,0,1523.66178
84.799112,1,0,0,0,1523.66348
84.99911,1,0,0,0,1523.66367
85.199108,1,0,0,0,1523.66348
85.399106,1,0,0,0,1523.66178
85.599104,1,0,0,0,1523.66348
85.799102,1,0,0,0,1523.66348
85.9991,1,0,0,0,1523.66178
86.199097,1,0,0,0,1523.66178
86.399095,1,0,0,0,1523.66367
86.599093,1,0,0,0,1523.66348
86.799091,1,0,0,0,1523.66348
86.999089,1,0,0,0,1523.66555
87.199087,1,0,0,0,1523.66367
87.399085,1,0,0,0,1523.66348
87.599083,1,0,0,0,1523.66178
87.799081,1,0,0,0,1523.66725
87.999079,1,0,0,0,1523.66537
88.199077,1,0,0,0,1523.66178
88.399075,1,0,0,0,1523.66537
88.599072,1,0,0,0,1523.66348
88.79907,1,0,0,0,1523.66348
88.999068,1,0,0,0,1523.66348
89.199066,1,0,0,0,1523.66348
89.399064,1,0,0,0,1523.66348
89.599062,1,0,0,0,1523.66537
89.79906,1,0,0,0,1523.66367
89.999058,1,0,0,0,1523.66348
90.199056,1,0,0,0,1523.66367
90.399054,1,0,0,0,1523.66367
90.599051,1,0,0,0,1523.66537
90.799049,1,0,0,0,1523.66556
90.999047,1,0,0,0,1523.66726
91.199045,1,0,0,0,1523.66178
91.399043,1,0,0,0,1523.66537
91.599041,1,0,0,0,1523.66367
91.799039,1,0,0,0,1523.66367
91.999037,1,0,0,0,1523.66537
92.199035,1,0,0,0,1523.66556
92.399033,1,0,0,0,1523.66707
92.599032,1,0,0,0,1523.66556
92.799028,1,0,0,0,1523.66367
92.999027,1,0,0,0,1523.66537
93.199024,1,0,0,0,1523.66537
93.399022,1,0,0,0,1523.66556
93.59902,1,0,0,0,1523.66556
93.799018,1,0,0,0,1523.66367
93.999016,1,0,0,0,1523.66556
94.199014,1,0,0,0,1523.66367
94.399012,1,0,0,0,1523.66367
94.59901,1,0,0,0,1523.66348
94.799008,1,0,0,0,1523.66367
94.999006,1,0,0,0,1523.66178
95.199003,1,0,0,0,1523.66348
95.399001,1,0,0,0,1523.66178
95.598999,1,0,0,0,1523.66348
95.798997,1,0,0,0,1523.66348
95.998995,1,0,0,0,1523.66367
96.198993,1,0,0,0,1523.66367
96.398991,1,0,0,0,1523.66348
96.598989,1,0,0,0,1523.66556
96.798987,1,0,0,0,1523.66367
96.998985,1,0,0,0,1523.66537
97.198982,1,0,0,0,1523.66348
97.39898,1,0,0,0,1523.66178
97.598978,1,0,0,0,1523.66556
97.798976,1,0,0,0,1523.66556
97.998974,1,0,0,0,1523.66556
98.198972,1,0,0,0,1523.66537
98.39897,1,0,0,0,1523.66367
98.598968,1,0,0,0,1523.66726
98.798966,1,0,0,0,1523.66537
98.998964,1,0,0,0,1523.66367
99.198961,1,0,0,0,1523.66367
99.398959,1,0,0,0,1523.66726
99.598957,1,0,0,0,1523.66726
99.798955,1,0,0,0,1523.66556
99.998953,1,0,0,0,1523.66556
100.198951,1,0,0,0,1523.66556
100.398949,1,0,0,0,1523.66556
100.598947,1,0,0,0,1523.66556
100.798945,1,0,0,0,1523.66725
100.998943,1,0,0,0,1523.66556
101.198941,1,0,0,0,1523.66537
101.398938,1,0,0,0,1523.66367
101.598936,1,0,0,0,1523.66556
101.798934,1,0,0,0,1523.66556
101.998932,1,0,0,0,1523.66726
102.19893,1,0,0,0,1523.66726
102.398928,1,0,0,0,1523.66367
102.598926,1,0,0,0,1523.66556
102.798924,1,0,0,0,1523.66537
102.998922,1,0,0,0,1523.66726
103.19892,1,0,0,0,1523.66556
103.398917,1,0,0,0,1523.66726
103.598916,1,0,0,0,1523.66726
103.798913,1,0,0,0,1523.66537
103.998911,1,0,0,0,1523.66537
104.198909,1,0,0,0,1523.66556
104.398907,1,0,0,0,1523.66726
104.598905,1,0,0,0,1523.66537
104.798903,1,0,0,0,1523.66556
104.998901,1,0,0,0,1523.66726
105.198899,1,0,0,0,1523.66537
105.398897,1,0,0,0,1523.66744
105.598895,1,0,0,0,1523.66726
105.798892,1,0,0,0,1523.66726
105.99889,1,0,0,0,1523.66726
106.198888,1,0,0,0,1523.66556
106.398886,1,0,0,0,1523.66726
106.598884,1,0,0,0,1523.66537
106.798882,1,0,0,0,1523.66726
106.99888,1,0,0,0,1523.66556
107.198878,1,0,0,0,1523.66556
107.398876,1,0,0,0,1523.66726
107.598874,1,0,0,0,1523.66896
107.798872,1,0,0,0,1523.66726
